machine_id,logical_cpus,physical_cores,sockets,threads_per_core,budget_mode,core_budget,branch_count,rns_width,mode,requested_workers,effective_workers,omp_threads,requested_omp_threads,core_demand,core_utilization,oversubscribed,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,1,1,1,0.015625,False,1,4903.580000,198.695000,221.274000,4768.680000,134.446000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,1,1,1,0.015625,False,2,4966.510000,201.125208,223.910000,4827.005000,139.038000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,1,1,1,0.015625,False,3,4933.350000,199.917458,221.140000,4798.019000,134.893000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,1,1,1,0.015625,False,1,5077.080000,205.622708,229.364000,4934.945000,141.408000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,1,1,1,0.015625,False,2,5087.510000,205.961792,229.754000,4943.083000,143.695000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,1,1,1,0.015625,False,3,5103.690000,206.731167,230.818000,4961.548000,141.450000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,1,1,2,0.031250,False,1,2569.960000,201.965667,225.015000,4847.176000,145.015000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,1,1,2,0.031250,False,2,2555.480000,200.580083,224.454000,4813.922000,148.036000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,1,1,2,0.031250,False,3,2556.510000,200.641958,223.982000,4815.407000,148.315000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,1,1,3,0.046875,False,1,1773.850000,202.035583,226.310000,4848.854000,150.732000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,1,1,3,0.046875,False,2,1971.960000,218.916542,278.591000,5253.997000,169.636000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,1,1,3,0.046875,False,3,1827.740000,206.521167,229.693000,4956.508000,152.929000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,1,1,4,0.062500,False,1,1540.930000,220.117417,237.219000,5282.818000,167.917000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,1,1,4,0.062500,False,2,1501.490000,213.181333,231.791000,5116.352000,157.199000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,1,1,4,0.062500,False,3,1524.900000,217.629708,235.879000,5223.113000,175.747000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,1,1,5,0.078125,False,1,1211.910000,209.890208,233.616000,5037.365000,162.415000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,1,1,5,0.078125,False,2,1211.980000,210.009375,234.491000,5040.225000,162.371000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,1,1,5,0.078125,False,3,1217.250000,211.004083,235.269000,5064.098000,161.996000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,6,6,1,1,6,0.093750,False,1,995.976000,214.259958,237.058000,5142.239000,137.771000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,6,6,1,1,6,0.093750,False,2,997.563000,214.957167,237.383000,5158.972000,136.555000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,6,6,1,1,6,0.093750,False,3,1004.040000,214.596667,236.535000,5150.320000,136.401000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,7,7,1,1,7,0.109375,False,1,993.525000,217.790292,239.182000,5226.967000,134.986000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,7,7,1,1,7,0.109375,False,2,996.236000,217.946792,239.595000,5230.723000,138.869000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,7,7,1,1,7,0.109375,False,3,996.270000,218.290000,240.577000,5238.960000,136.218000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,8,8,1,1,8,0.125000,False,1,819.806000,224.326958,243.291000,5383.847000,138.438000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,8,8,1,1,8,0.125000,False,2,812.619000,224.544833,243.861000,5389.076000,134.952000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,8,8,1,1,8,0.125000,False,3,811.158000,223.873083,243.512000,5372.954000,139.153000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,9,9,1,1,9,0.140625,False,1,811.178000,226.397167,247.343000,5433.532000,137.090000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,9,9,1,1,9,0.140625,False,2,811.340000,225.861375,247.426000,5420.673000,138.851000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,9,9,1,1,9,0.140625,False,3,822.707000,226.156375,246.405000,5427.753000,137.268000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,10,10,1,1,10,0.156250,False,1,805.233000,229.119708,249.496000,5498.873000,136.242000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,10,10,1,1,10,0.156250,False,2,812.567000,230.642167,251.334000,5535.412000,139.390000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,10,10,1,1,10,0.156250,False,3,805.165000,228.880250,250.310000,5493.126000,136.794000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,11,11,1,1,11,0.171875,False,1,812.306000,236.296333,254.482000,5671.112000,136.958000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,11,11,1,1,11,0.171875,False,2,813.289000,236.338750,254.961000,5672.130000,138.073000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,11,11,1,1,11,0.171875,False,3,812.750000,236.762333,255.553000,5682.296000,136.108000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,12,12,1,1,12,0.187500,False,1,627.794000,243.555958,257.091000,5845.343000,140.269000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,12,12,1,1,12,0.187500,False,2,623.965000,243.691083,256.189000,5848.586000,136.150000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,12,12,1,1,12,0.187500,False,3,625.699000,244.179958,258.031000,5860.319000,136.873000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,13,13,1,1,13,0.203125,False,1,625.699000,244.263917,260.555000,5862.334000,139.045000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,13,13,1,1,13,0.203125,False,2,629.907000,248.255042,267.024000,5958.121000,135.929000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,13,13,1,1,13,0.203125,False,3,671.683000,270.538042,312.026000,6492.913000,136.835000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,14,14,1,1,14,0.218750,False,1,613.238000,242.086625,262.610000,5810.079000,135.415000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,14,14,1,1,14,0.218750,False,2,621.555000,244.805875,263.893000,5875.341000,137.987000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,14,14,1,1,14,0.218750,False,3,613.783000,242.728792,264.343000,5825.491000,135.673000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,15,15,1,1,15,0.234375,False,1,625.417000,247.792750,271.644000,5947.026000,136.857000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,15,15,1,1,15,0.234375,False,2,617.042000,245.317833,264.774000,5887.628000,137.196000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,15,15,1,1,15,0.234375,False,3,624.145000,246.527875,269.794000,5916.669000,136.852000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,16,16,1,1,16,0.250000,False,1,616.327000,250.168458,274.564000,6004.043000,137.638000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,16,16,1,1,16,0.250000,False,2,617.239000,250.649125,274.450000,6015.579000,137.271000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,16,16,1,1,16,0.250000,False,3,615.619000,249.867125,272.930000,5996.811000,135.560000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,17,17,1,1,17,0.265625,False,1,615.132000,255.444375,279.243000,6130.665000,137.594000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,17,17,1,1,17,0.265625,False,2,617.660000,256.270333,280.400000,6150.488000,136.590000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,17,17,1,1,17,0.265625,False,3,618.631000,257.238083,281.554000,6173.714000,137.722000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,18,18,1,1,18,0.281250,False,1,620.009000,264.090417,287.594000,6338.170000,137.115000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,18,18,1,1,18,0.281250,False,2,620.652000,263.165333,285.799000,6315.968000,137.909000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,18,18,1,1,18,0.281250,False,3,618.940000,263.403375,287.058000,6321.681000,136.083000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,19,19,1,1,19,0.296875,False,1,619.328000,265.169250,283.362000,6364.062000,138.954000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,19,19,1,1,19,0.296875,False,2,625.678000,271.739917,293.485000,6521.758000,136.839000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,19,19,1,1,19,0.296875,False,3,616.983000,266.699500,288.010000,6400.788000,136.013000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,20,20,1,1,20,0.312500,False,1,622.182000,273.051333,290.738000,6553.232000,138.742000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,20,20,1,1,20,0.312500,False,2,616.058000,270.583875,287.384000,6494.013000,135.802000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,20,20,1,1,20,0.312500,False,3,617.563000,271.898125,288.355000,6525.555000,135.257000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,21,21,1,1,21,0.328125,False,1,626.191000,287.545500,303.254000,6901.092000,138.145000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,21,21,1,1,21,0.328125,False,2,619.244000,286.195792,343.341000,6868.699000,136.188000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,21,21,1,1,21,0.328125,False,3,625.310000,284.973000,300.834000,6839.352000,138.579000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,22,22,1,1,22,0.343750,False,1,659.816000,296.322667,306.573000,7111.744000,136.873000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,22,22,1,1,22,0.343750,False,2,624.562000,289.719667,307.379000,6953.272000,136.035000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,22,22,1,1,22,0.343750,False,3,627.786000,294.732542,306.729000,7073.581000,137.993000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,23,23,1,1,23,0.359375,False,1,632.619000,304.228208,311.944000,7301.477000,135.542000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,23,23,1,1,23,0.359375,False,2,639.341000,311.062042,319.315000,7465.489000,137.344000
